id,date,vehicle,mission,site,status
SLV001,2025-01-15,Falcon 9,Starlink Group 9-1,CCSFS SLC-40,Success
SLV002,2025-01-20,Ariane 6,Artemis Supply Test,Kourou ELA-4,Delayed
SLV003,2025-02-05,Long March 5B,Chinese Space Lab Module,WSLC LC-101,Success
SLV004,2025-02-18,H3,HTV-X Cargo to ISS,Tanegashima LA-Y,Failure
SLV005,2025-03-01,Falcon Heavy,Lunar Probe Pathfinder,KSC LC-39A,Scheduled
SLV006,2025-03-10,Electron,WeatherSat-3,Mahia LC-1B,Success
SLV007,2025-03-25,Starship,Deep Space Cargo Test,Boca Chica Orbital Pad,Delayed
SLV008,2025-04-02,Vega C,Earth Imaging Cluster,Vega Launch Zone,Success
SLV009,2025-04-12,PSLV,NavIC Expansion,Satish Dhawan FLP,Success
SLV010,2025-04-30,Falcon 9,Starlink Group 9-2,CCSFS SLC-40,Cancelled
SLV011,2025-05-10,New Glenn,Orbital Tourism Demo,LC-36,Scheduled
SLV012,2025-05-22,Long March 7,Space Station Cargo,WSLC LC-201,Success
SLV013,2025-06-05,Falcon 9,Starlink Group 9-3,CCSFS SLC-40,Success
SLV014,2025-06-18,Falcon 9,GPS Satellite,CCSFS SLC-40,Success
X001,2025-06-xx,Falcon 9,Starlink Batch X,CCSFS SLC-40,Success
SLV015,2025-07-02,Electron,Weather Satellite,Mahia LC-1B,Scheduled
X002,2025-07-10,,Satellite Deploy,WSLC LC-201,Scheduled
SLV016,2025-07-15,Ariane 6,Communication Sat,Kourou ELA-4,Scheduled
X003,2025-07-20,Electron,Small Payload,Mahia LC-1B,
SLV017,2025-08-01,Falcon Heavy,Mars Probe,KSC LC-39A,Scheduled
SLV018,2025-08-12,Long March 7,Cargo Mission,WSLC LC-201,Scheduled
SLV019,2025-08-25,Falcon 9,Starlink Group 10-1,CCSFS SLC-40,Scheduled
X004,06-30-2025,Starship,Test Flight,Boca Chica Orbital Pad,Delayed
SLV020,2025-09-10,PSLV,Earth Observation,Satish Dhawan FLP,Scheduled
SLV021,2025-09-22,Vega C,Science Satellite,Vega Launch Zone,Scheduled
SLV022,2025-10-05,Falcon 9,Starlink Group 10-2,CCSFS SLC-40,Scheduled
X005,2025-13-01,Falcon 9,Invalid Month,CCSFS SLC-40,Success
SLV023,2025-10-18,Electron,Small Sat Cluster,Mahia LC-1B,Scheduled
SLV024,2025-11-02,Starship,Lunar Test,Boca Chica Orbital Pad,Scheduled
X006,2025-02-30,Ariane 6,Test Mission,Kourou ELA-4,Success
SLV025,2025-11-20,Long March 5B,Space Station Module,WSLC LC-101,Scheduled
SLV026,2025-12-01,Falcon 9,Starlink Group 10-3,CCSFS SLC-40,Scheduled
SLV027,2025-12-15,New Glenn,Commercial Sat,LC-36,Scheduled
X007,2025-08-32,H3,Cargo,Tanegashima LA-Y,Scheduled
